+-----------------------------+---------------+-----------------+-------------------+
|            title            | category_name | rental_duration | standard_quartile |
| State Wasteland             | Games         |               4 |                 1 |
| Sting Personal              | New           |               3 |                 1 |
| Stone Fire                  | Travel        |               3 |                 1 |
| Straight Hours              | Sports        |               3 |                 1 |
| Strangelove Desire          | Children      |               4 |                 1 |
| Stranger Strangers          | Children      |               3 |                 1 |
| Strictly Scarface           | Comedy        |               3 |                 1 |
| Sugar Wonka                 | Animation     |               3 |                 1 |
| Suit Walls                  | Games         |               3 |                 1 |
| Sunrise League              | Animation     |               3 |                 1 |
| Sweet Brotherhood           | Travel        |               3 |                 1 |
| Sweethearts Suspects        | Children      |               3 |                 1 |
| Tarzan Videotape            | Horror        |               3 |                 1 |
| Teen Apollo                 | Travel        |               3 |                 1 |
| Telegraph Voyage            | Music         |               3 |                 1 |
| Ties Hunger                 | Children      |               3 |                 1 |
| Timberland Sky              | Classics      |               3 |                 1 |
| Titanic Boondock            | Animation     |               3 |                 1 |
| Tomorrow Hustler            | Classics      |               3 |                 1 |
| Tootsie Pilot               | Children      |               3 |                 1 |
| Torque Bound                | Drama         |               3 |                 1 |
| Tracy Cider                 | Animation     |               3 |                 1 |
| Train Bunch                 | Horror        |               3 |                 1 |
| Trap Guys                   | Foreign       |               3 |                 1 |
| Treatment Jekyll            | Drama         |               3 |                 1 |
| Trojan Tomorrow             | Sci-Fi        |               3 |                 1 |
| Troopers Metal              | New           |               3 |                 1 |
| Turn Star                   | Animation     |               3 |                 1 |
| Tuxedo Mile                 | Sports        |               3 |                 1 |
| Tycoon Gathering            | Games         |               3 |                 1 |
| Unbreakable Karate          | New           |               3 |                 1 |
| United Pilot                | Documentary   |               3 |                 1 |
| Valley Packer               | Comedy        |               3 |                 1 |
| Vanishing Rocky             | Music         |               3 |                 1 |
| Velvet Terminator           | Comedy        |               3 |                 1 |
| Virtual Spoilers            | Family        |               3 |                 1 |
| Wait Cider                  | Animation     |               3 |                 1 |
| Wedding Apollo              | Documentary   |               3 |                 1 |
| West Lion                   | Drama         |               4 |                 1 |
| Wife Turn                   | Documentary   |               3 |                 1 |
| Window Side                 | Travel        |               3 |                 1 |
| Wisdom Worker               | Comedy        |               3 |                 1 |
| Women Dorado                | Action        |               4 |                 1 |
| Wonderful Drop              | Foreign       |               3 |                 1 |
| Wonderland Christmas        | Sci-Fi        |               4 |                 1 |
| Words Hunter                | Music         |               3 |                 1 |
| World Leathernecks          | Horror        |               3 |                 1 |
| Youth Kick                  | Music         |               4 |                 1 |
| Zorro Ark                   | Comedy        |               3 |                 1 |
| Ali Forever                 | Horror        |               4 |                 2 |
| Amelie Hellfighters         | Music         |               4 |                 2 |
| Anthem Luke                 | Comedy        |               5 |                 2 |
| Anything Savannah           | Horror        |               4 |                 2 |
| Arachnophobia Rollercoaster | Horror        |               4 |                 2 |
| Army Flintstones            | Documentary   |               4 |                 2 |
| Attacks Hate                | Sci-Fi        |               5 |                 2 |
| Bang Kwai                   | Family        |               5 |                 2 |
| Banger Pinocchio            | Music         |               5 |                 2 |
| Basic Easy                  | Travel        |               4 |                 2 |
| Bear Graceland              | Children      |               4 |                 2 |
| Bed Highball                | Documentary   |               5 |                 2 |
| Berets Agent                | Action        |               5 |                 2 |
| Birch Antitrust             | Music         |               4 |                 2 |
| Birdcage Casper             | Music         |               4 |                 2 |
| Blues Instinct              | Family        |               5 |                 2 |
| Bonnie Holocaust            | Documentary   |               4 |                 2 |
| Brannigan Sunrise           | New           |               4 |                 2 |
| Breaking Home               | New           |               4 |                 2 |
| Bright Encounters           | Drama         |               4 |                 2 |
| Bubble Grosse               | Sports        |               4 |                 2 |
| Bugsy Song                  | Foreign       |               4 |                 2 |
| Bulworth Commandments       | Games         |               4 |                 2 |
| Bunch Minds                 | Drama         |               4 |                 2 |
| California Birds            | Sports        |               4 |                 2 |
| Campus Remember             | Action        |               5 |                 2 |
| Candidate Perdition         | Classics      |               4 |                 2 |
| Carol Texas                 | Animation     |               4 |                 2 |
| Center Dinosaur             | Classics      |               5 |                 2 |
| Champion Flatliners         | Animation     |               4 |                 2 |
| Chisum Behavior             | Family        |               5 |                 2 |
| Cincinatti Whisperer        | Sci-Fi        |               5 |                 2 |
| Closer Bang                 | Comedy        |               5 |                 2 |
| Club Graffiti               | Animation     |               4 |                 2 |
| Clyde Theory                | New           |               4 |                 2 |
| Coast Rainbow               | Documentary   |               4 |                 2 |
| Conversation Downhill       | Family        |               4 |                 2 |
| Crossroads Casualties       | Animation     |               5 |                 2 |
| Daddy Pittsburgh            | Comedy        |               5 |                 2 |
| Dalmations Sweden           | Drama         |               4 |                 2 |
| Date Speed                  | Family        |               4 |                 2 |
| Dawn Pond                   | Games         |               4 |                 2 |
| Desert Poseidon             | Horror        |               4 |                 2 |
| Destiny Saturday            | New           |               4 |                 2 |
| Details Packer              | Games         |               4 |                 2 |
| Detective Vision            | Classics      |               4 |                 2 |
| Divine Resurrection         | Games         |               4 |                 2 |
| Doctor Grail                | Children      |               4 |                 2 |
| Donnie Alley                | Animation     |               4 |                 2 |
| Dorado Notting              | Music         |               5 |                 2 |
| Double Wrath                | Animation     |               4 |                 2 |
| Doubtfire Labyrinth         | Foreign       |               5 |                 2 |
| Driver Annie                | Sports        |               4 |                 2 |
| Duck Racer                  | Animation     |               4 |                 2 |
| Duffel Apocalypse           | Documentary   |               5 |                 2 |
| Dumbo Lust                  | Family        |               5 |                 2 |
| Dynamite Tarzan             | Classics      |               4 |                 2 |
| Easy Gladiator              | Action        |               5 |                 2 |
| Edge Kissing                | Drama         |               5 |                 2 |
| Elephant Trojan             | Horror        |               4 |                 2 |
| Elf Murder                  | Music         |               4 |                 2 |
| Enemy Odds                  | Music         |               5 |                 2 |
| Entrapment Satisfaction     | Action        |               5 |                 2 |
| Everyone Craft              | Foreign       |               4 |                 2 |
| Express Lonely              | Sci-Fi        |               5 |                 2 |
| Eyes Driving                | Sci-Fi        |               4 |                 2 |
| Factory Dragon              | Travel        |               4 |                 2 |
| Falcon Volume               | Animation     |               5 |                 2 |
| Family Sweet                | Horror        |               4 |                 2 |
| Fantasia Park               | Games         |               5 |                 2 |
| Fever Empire                | Games         |               5 |                 2 |
| Fiddler Lost                | Sci-Fi        |               4 |                 2 |
| Fidelity Devil              | Horror        |               5 |                 2 |
| Finding Anaconda            | Family        |               4 |                 2 |
| Fire Wolves                 | Games         |               5 |                 2 |
| Fireball Philadelphia       | Comedy        |               4 |                 2 |
| Fish Opus                   | Sci-Fi        |               4 |                 2 |
| Flamingos Connecticut       | New           |               4 |                 2 |
| Flatliners Killer           | Sports        |               5 |                 2 |
| Freedom Cleopatra           | Comedy        |               5 |                 2 |
| French Holiday              | Documentary   |               5 |                 2 |
| Frogmen Breaking            | Travel        |               5 |                 2 |
| Galaxy Sweethearts          | Classics      |               4 |                 2 |
| Gangs Pride                 | Animation     |               4 |                 2 |
| Gaslight Crusade            | Horror        |               4 |                 2 |
| Gathering Calendar          | Games         |               4 |                 2 |
| Giant Troopers              | Children      |               5 |                 2 |
| Gleaming Jawbreaker         | Sports        |               5 |                 2 |
| Gold River                  | Comedy        |               4 |                 2 |
| Goodfellas Salute           | Sci-Fi        |               4 |                 2 |
| Gorgeous Bingo              | Children      |               4 |                 2 |
| Graceland Dynamite          | Sports        |               5 |                 2 |
| Grail Frankenstein          | Action        |               4 |                 2 |
| Grapes Fury                 | Foreign       |               4 |                 2 |
| Grosse Wonderful            | Music         |               5 |                 2 |
| Gunfight Moon               | Comedy        |               5 |                 2 |
| Guys Falcon                 | Sci-Fi        |               4 |                 2 |
| Hall Cassidy                | Children      |               5 |                 2 |
| Handicap Boondock           | Action        |               4 |                 2 |
| Head Stranger               | Games         |               4 |                 2 |
| Heavenly Gun                | Music         |               5 |                 2 |
| Hills Neighbors             | Action        |               5 |                 2 |
| Hobbit Alien                | Drama         |               5 |                 2 |
| Hope Tootsie                | Classics      |               4 |                 2 |
| Horn Working                | Animation     |               4 |                 2 |
| Hours Rage                  | New           |               4 |                 2 |
| Hunchback Impossible        | Drama         |               4 |                 2 |
| Hyde Doctor                 | Classics      |               5 |                 2 |
| Ice Crossing                | Games         |               5 |                 2 |
| Identity Lover              | Sci-Fi        |               4 |                 2 |
| Illusion Amelie             | Foreign       |               4 |                 2 |
| Informer Double             | Foreign       |               4 |                 2 |
| Instinct Airport            | Sports        |               4 |                 2 |
| Interview Liaisons          | New           |               4 |                 2 |
| Invasion Cyclone            | Children      |               5 |                 2 |
| Ishtar Rocketeer            | Animation     |               4 |                 2 |
| Jason Trap                  | Family        |               5 |                 2 |
| Jawbreaker Brooklyn         | Music         |               5 |                 2 |
| Jaws Harry                  | Comedy        |               4 |                 2 |
| Juggler Hardly              | Animation     |               4 |                 2 |
| Jumping Wrath               | Children      |               4 |                 2 |
| Karate Moon                 | Horror        |               4 |                 2 |
| Knock Warlock               | Comedy        |               4 |                 2 |
| Kwai Homeward               | Drama         |               5 |                 2 |
| Lady Stage                  | Horror        |               4 |                 2 |
| Ladybugs Armageddon         | Games         |               4 |                 2 |
| Life Twisted                | Comedy        |               4 |                 2 |
| Loser Hustler               | Sports        |               5 |                 2 |
| Lost Bird                   | Foreign       |               4 |                 2 |
| Madigan Dorado              | Travel        |               5 |                 2 |
| Madison Trap                | Documentary   |               4 |                 2 |
| Madness Attacks             | Foreign       |               4 |                 2 |
| Majestic Floats             | Documentary   |               5 |                 2 |
| Maker Gables                | Children      |               4 |                 2 |
| Mallrats United             | Comedy        |               4 |                 2 |
| Massage Image               | Animation     |               4 |                 2 |
| Memento Zoolander           | Comedy        |               4 |                 2 |
| Mermaid Insects             | Sports        |               5 |                 2 |
| Mile Mulan                  | Sports        |               4 |                 2 |
| Million Ace                 | Classics      |               4 |                 2 |
| Mob Duffel                  | Drama         |               4 |                 2 |
| Mockingbird Hollywood       | Action        |               4 |                 2 |
| Moonshine Cabin             | Games         |               4 |                 2 |
| Moulin Wake                 | Travel        |               4 |                 2 |
| Mulan Moon                  | Comedy        |               4 |                 2 |
| Mystic Truman               | Comedy        |               5 |                 2 |
| National Story              | Documentary   |               4 |                 2 |
| Natural Stock               | Family        |               4 |                 2 |
| Network Peak                | Family        |               5 |                 2 |
| Newsies Story               | Documentary   |               4 |                 2 |
| Noon Papi                   | Children      |               5 |                 2 |
| North Tequila               | Documentary   |               4 |                 2 |
| Nuts Ties                   | New           |               5 |                 2 |
| Oleander Clue               | Music         |               5 |                 2 |
| Orange Grapes               | Foreign       |               4 |                 2 |
| Oz Liaisons                 | Animation     |               4 |                 2 |
| Panky Submarine             | Games         |               4 |                 2 |
| Pinocchio Simon             | Comedy        |               4 |                 2 |
| Pirates Roxanne             | Sports        |               4 |                 2 |
| Pittsburgh Hunchback        | Family        |               4 |                 2 |
| Pity Bound                  | Drama         |               5 |                 2 |
| Pizza Jumanji               | Games         |               4 |                 2 |
| Pollock Deliverance         | Foreign       |               5 |                 2 |
| Prix Undefeated             | Family        |               4 |                 2 |
| Pulp Beverly                | Horror        |               4 |                 2 |
| Purple Movie                | Foreign       |               4 |                 2 |
| Queen Luke                  | Drama         |               5 |                 2 |
| Quills Bull                 | Documentary   |               4 |                 2 |
| Raging Airplane             | Sci-Fi        |               4 |                 2 |
| Reef Salute                 | Horror        |               5 |                 2 |
| Rings Heartbreakers         | Action        |               5 |                 2 |
| River Outlaw                | Sports        |               4 |                 2 |
| Road Roxanne                | Documentary   |               4 |                 2 |
| Robbery Bright              | Family        |               4 |                 2 |
| Rock Instinct               | Horror        |               4 |                 2 |
| Rocky War                   | Drama         |               4 |                 2 |
| Rollercoaster Bringing      | Horror        |               5 |                 2 |
| Roots Remember              | Classics      |               4 |                 2 |
| Roxanne Rebel               | Games         |               5 |                 2 |
| Rugrats Shakespeare         | Action        |               4 |                 2 |
| Sagebrush Clueless          | Documentary   |               4 |                 2 |
| Saints Bride                | Drama         |               5 |                 2 |
| Salute Apollo               | New           |               4 |                 2 |
| Savannah Town               | Drama         |               5 |                 2 |
| Scissorhands Slums          | Foreign       |               5 |                 2 |
| Seattle Expecations         | Drama         |               4 |                 2 |
| Secretary Rouge             | Sports        |               5 |                 2 |
| Seven Swarm                 | Games         |               4 |                 2 |
| Shane Darkness              | Travel        |               5 |                 2 |
| Shining Roses               | Travel        |               4 |                 2 |
| Ship Wonderland             | Documentary   |               5 |                 2 |
| Side Ark                    | Action        |               5 |                 2 |
| Silverado Goldfinger        | Sci-Fi        |               4 |                 2 |
| Sleepless Monsoon           | Animation     |               5 |                 2 |
| Sleepy Japanese             | New           |               4 |                 2 |
| Sleuth Orient               | Games         |               4 |                 2 |
| Sling Luke                  | Classics      |               5 |                 2 |
| Slipper Fidelity            | Sports        |               5 |                 2 |
| Snatchers Montezuma         | Classics      |               4 |                 2 |
| South Wait                  | Action        |               4 |                 2 |
| Spirited Casualties         | Sci-Fi        |               5 |                 2 |
| Splash Gump                 | Family        |               5 |                 2 |
| Splendor Patton             | Children      |               5 |                 2 |
| Spoilers Hellfighters       | Documentary   |               4 |                 2 |
| Stage World                 | Comedy        |               4 |                 2 |
| Stagecoach Armageddon       | Action        |               5 |                 2 |
| Stallion Sundance           | Sci-Fi        |               5 |                 2 |
| Steel Santa                 | Classics      |               4 |                 2 |
| Strangers Graffiti          | Horror        |               4 |                 2 |
| Super Wyoming               | Family        |               5 |                 2 |
| Superfly Trip               | Travel        |               5 |                 2 |
| Suspects Quills             | Action        |               4 |                 2 |
| Swarm Gold                  | Horror        |               4 |                 2 |
| Taxi Kick                   | Music         |               4 |                 2 |
| Temple Attraction           | Horror        |               5 |                 2 |
| Tenenbaums Command          | Drama         |               4 |                 2 |
| Terminator Club             | Music         |               5 |                 2 |
| Thief Pelican               | Animation     |               5 |                 2 |
| Tights Dawn                 | Sports        |               5 |                 2 |
| Titans Jerk                 | Sci-Fi        |               4 |                 2 |
| Tourist Pelican             | Sports        |               4 |                 2 |
| Tramp Others                | Comedy        |               4 |                 2 |
| Translation Summer          | Drama         |               4 |                 2 |
| Twisted Pirates             | Children      |               4 |                 2 |
| Untouchables Sunrise        | Documentary   |               5 |                 2 |
| Usual Untouchables          | Foreign       |               5 |                 2 |
| Vacation Boondock           | Sci-Fi        |               4 |                 2 |
| Vampire Whale               | New           |               4 |                 2 |
| Vanished Garden             | New           |               5 |                 2 |
| Vertigo Northwest           | Comedy        |               4 |                 2 |
| Videotape Arsenic           | Games         |               4 |                 2 |
| Virginian Pluto             | Documentary   |               5 |                 2 |
| Waterfront Deliverance      | Action        |               4 |                 2 |
| Whale Bikini                | Foreign       |               4 |                 2 |
| Whisperer Giant             | Sci-Fi        |               4 |                 2 |
| Wild Apollo                 | New           |               4 |                 2 |
| Wizard Coldblooded          | Music         |               4 |                 2 |
| Working Microcosmos         | Travel        |               4 |                 2 |
| Worst Banger                | Action        |               4 |                 2 |
| Wrath Mile                  | Documentary   |               5 |                 2 |
| Affair Prejudice            | Horror        |               5 |                 3 |
| African Egg                 | Family        |               6 |                 3 |
| Airplane Sierra             | Comedy        |               6 |                 3 |
| Airport Pollock             | Horror        |               6 |                 3 |
| Aladdin Calendar            | Sports        |               6 |                 3 |
| Alaska Phantom              | Music         |               6 |                 3 |
| Alien Center                | Foreign       |               5 |                 3 |
| Amadeus Holy                | Action        |               6 |                 3 |
| Amistad Midsummer           | New           |               6 |                 3 |
| Analyze Hoosiers            | Horror        |               6 |                 3 |
| Antitrust Tomatoes          | Action        |               5 |                 3 |
| Apache Divine               | Family        |               5 |                 3 |
| Arabia Dogma                | Horror        |               6 |                 3 |
| Armageddon Lost             | Sci-Fi        |               5 |                 3 |
| Artist Coldblooded          | Sports        |               5 |                 3 |
| Atlantis Cause              | Family        |               6 |                 3 |
| Attraction Newton           | New           |               5 |                 3 |
| Baby Hall                   | Foreign       |               5 |                 3 |
| Badman Dawn                 | Sci-Fi        |               6 |                 3 |
| Balloon Homeward            | Music         |               5 |                 3 |
| Ballroom Mockingbird        | Foreign       |               6 |                 3 |
| Barefoot Manchurian         | Action        |               6 |                 3 |
| Beach Heartbreakers         | Documentary   |               6 |                 3 |
| Beauty Grease               | Drama         |               5 |                 3 |
| Bedazzled Married           | Family        |               6 |                 3 |
| Beethoven Exorcist          | Drama         |               6 |                 3 |
| Beneath Rush                | Children      |               6 |                 3 |
| Betrayed Rear               | Children      |               5 |                 3 |
| Bill Others                 | Documentary   |               6 |                 3 |
| Bingo Talented              | Sci-Fi        |               5 |                 3 |
| Bird Independence           | Travel        |               6 |                 3 |
| Birds Perdition             | New           |               5 |                 3 |
| Blade Polish                | Drama         |               5 |                 3 |
| Bound Cheaper               | Classics      |               5 |                 3 |
| Breakfast Goldfinger        | New           |               5 |                 3 |
| Candles Grapes              | Games         |               6 |                 3 |
| Casablanca Super            | Travel        |               6 |                 3 |
| Cassidy Wyoming             | Travel        |               5 |                 3 |
| Cat Coneheads               | Comedy        |               5 |                 3 |
| Chainsaw Uptown             | Sci-Fi        |               6 |                 3 |
| Chariots Conspiracy         | Sci-Fi        |               5 |                 3 |
| Chitty Lock                 | Drama         |               6 |                 3 |
| Chocolat Harry              | Family        |               5 |                 3 |
| Circus Youth                | Children      |               5 |                 3 |
| Cleopatra Devil             | New           |               6 |                 3 |
| Clue Grail                  | Music         |               6 |                 3 |
| Color Philadelphia          | Classics      |               6 |                 3 |
| Coma Head                   | Travel        |               6 |                 3 |
| Comancheros Enemy           | Children      |               5 |                 3 |
| Command Darling             | Foreign       |               5 |                 3 |
| Confidential Interview      | Music         |               6 |                 3 |
| Congeniality Quest          | Sports        |               6 |                 3 |
| Craft Outfield              | Drama         |               6 |                 3 |
| Cranes Reservoir            | Sports        |               5 |                 3 |
| Creepers Kane               | Classics      |               5 |                 3 |
| Crooked Frogmen             | Children      |               6 |                 3 |
| Daisy Menagerie             | Sci-Fi        |               5 |                 3 |
| Darkness War                | Drama         |               6 |                 3 |
| Deep Crusade                | Documentary   |               6 |                 3 |
